service_id,date,exception_type
service_VRT_2213159,20190710,1
service_VRT_2213159,20190711,1
service_VRT_2213159,20190712,1
service_VRT_2213159,20190715,1
service_VRT_2213159,20190716,1
service_VRT_2213159,20190717,1
service_VRT_2213159,20190718,1
service_VRT_2213159,20190719,1
service_VRT_2213159,20190722,1
service_VRT_2213159,20190723,1
service_VRT_2213159,20190724,1
service_VRT_2213159,20190725,1
service_VRT_2213159,20190726,1
service_VRT_2213159,20190729,1
service_VRT_2213159,20190730,1
service_VRT_2213159,20190731,1
service_VRT_2213159,20190801,1
service_VRT_2213159,20190802,1
service_VRT_2213159,20190805,1
service_VRT_2213159,20190806,1
service_VRT_2213159,20190807,1
service_VRT_2213159,20190808,1
service_VRT_2213159,20190809,1
service_VRT_2213159,20190812,1
service_VRT_2213159,20190813,1
service_VRT_2213159,20190814,1
service_VRT_2213159,20190815,1
service_VRT_2213159,20190816,1
service_VRT_2213159,20190902,1
service_VRT_2213159,20191125,1
service_VRT_2213159,20191126,1
service_VRT_2213159,20191127,1
service_VRT_2213159,20191128,1
service_VRT_2213159,20191129,1
service_VRT_2213159,20191216,1
service_VRT_2213159,20191217,1
service_VRT_2213159,20191218,1
service_VRT_2213159,20191219,1
service_VRT_2213159,20191220,1
service_VRT_2213159,20191223,1
service_VRT_2213159,20191224,1
service_VRT_2213159,20191225,1
service_VRT_2213159,20191226,1
service_VRT_2213159,20191227,1
service_VRT_2213159,20191230,1
service_VRT_2213159,20191231,1
service_VRT_2213159,20200101,1
service_VRT_2213159,20200102,1
service_VRT_2213159,20200103,1
service_VRT_2213159,20200106,1
service_VRT_2213159,20200107,1
service_VRT_2213159,20200108,1
service_VRT_2213159,20200109,1
service_VRT_2213159,20200110,1
service_VRT_2213159,20200120,1
service_VRT_2213159,20200217,1
service_VRT_2213159,20200323,1
service_VRT_2213159,20200324,1
service_VRT_2213159,20200325,1
service_VRT_2213159,20200326,1
service_VRT_2213159,20200327,1
service_VRT_2213159,20200511,1
service_VRT_2213159,20200512,1
service_VRT_2213159,20200513,1
service_VRT_2213159,20200514,1
service_VRT_2213159,20200515,1
service_VRT_2213159,20200518,1
service_VRT_2213159,20200519,1
service_VRT_2213159,20200520,1
service_VRT_2213159,20200521,1
service_VRT_2213159,20200522,1
service_VRT_2213159,20200525,1
service_VRT_2213159,20200526,1
service_VRT_2213159,20200527,1
service_VRT_2213159,20200528,1
service_VRT_2213159,20200529,1
service_VRT_2213159,20200601,1
service_VRT_2213159,20200602,1
service_VRT_2213159,20200603,1
service_VRT_2213159,20200604,1
service_VRT_2213159,20200605,1
service_VRT_2213159,20200608,1
service_VRT_2213159,20200609,1
service_VRT_2213159,20200610,1
service_VRT_2213159,20200611,1
service_VRT_2213159,20200612,1
service_VRT_2213159,20200615,1
service_VRT_2213159,20200616,1
service_VRT_2213159,20200617,1
service_VRT_2213159,20200618,1
service_VRT_2213159,20200619,1
service_VRT_2213159,20200622,1
service_VRT_2213159,20200623,1
service_VRT_2213159,20200624,1
service_VRT_2213159,20200625,1
service_VRT_2213159,20200626,1
service_VRT_2213159,20200629,1
service_VRT_2213159,20200630,1
service_VRT_2213159,20200701,1
service_VRT_2213159,20200702,1
service_VRT_2213159,20200703,1
